species_taxid,number_of_samples,Species,Family,Order,Class,Phylum,Gram_stain,Host_or_free,Obligate_facultative,Host_range_taxonomic,Host_range_name,Host_range_b_or_n,Host_primary_location,Host_secondary_location,Host_inside_outside,Intra_or_extracellular,Host_type,Effect_on_host,Primary_environment,Secondary_environment,Category_primary_env,Motility,Spore,Plant,Mammal,Soil,Freshwater,Marine_water,Fish,Amphibians,Bird,Insects,Reptiles,Sponges,Protozoa,Nematodes,Sand,Sediment,Algae,Molluscs,Crustacean,Total_envs,pangenome_fluidity,Per_core_100,accessory_100,core_100,percentage_core_100,pan_size,accessory_90,core_90,percentage_core_90,accessory_80,core_80,percentage_core_80,percentage_accessory_20,percentage_accessory_10,Ne,genome_size,Number_of_Strain
1423,311,bacillus_subtilis,Bacillaceae,Caryophanales,Bacilli,Firmicutes,Positive,Both,Facultative,Domain,Eukaryota,Broad,Root,Gut,Both,Extracellular,Both,Mutualist,Soil,Plant,Free,Motile,Yes,1,1,1,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,7.0,0.223477152,0.370661878,9276.0,1501.0,0.139278092,10777.0,7522.0,3255.0,0.302032105,7304.0,3473.0,0.322260369,0.582072933,0.53929665,322444029.9,4059.0,80.0
1428,102,bacillus_thuringiensis,Bacillaceae,Caryophanales,Bacilli,Firmicutes,Positive,Both,Facultative,Kingdom,Animalia,Broad,Gut,Midgut,Inside,Extracellular,Animal,Pathogen,Soil,Invertebrate,Free,Motile,Yes,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,0.319107309,0.45672791,14578.0,2712.0,0.156853673,17290.0,13180.0,4110.0,0.237709659,12965.0,4325.0,0.250144592,0.613360324,0.53880856,374491212.6,6026.0,43.0
492670,328,bacillus_velezensis,Bacillaceae,Caryophanales,Bacilli,Firmicutes,Positive,Both,Facultative,Domain,Eukaryota,Broad,Root,Gut,Both,Extracellular,Both,Mutualist,Rhizosphere,Soil Gut,Host,Motile,Yes,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,0.151014902,0.658343327,5063.0,2499.0,0.33046813,7562.0,4256.0,3306.0,0.43718593,4155.0,3407.0,0.450542185,0.46469188,0.408886538,NA,3807.0,71.0
28025,42,bifidobacterium_animalis,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Positive,Host,Facultative,Phylum,Chordata,Broad,Gut,Milk,Inside,Extracellular,Animal,Mutualist,Gut,Milk Sewage,Host,Non-motile,No,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,0.089261213,0.729661836,848.0,1133.0,0.571933367,1981.0,631.0,1350.0,0.681474003,462.0,1519.0,0.766784452,0.203937405,0.161029783,NA,1557.0,22.0
1685,51,bifidobacterium_breve,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Positive,Host,Facultative,Species,Homo sapiens,Narrow,Gut,Milk,Inside,Extracellular,Animal,Mutualist,Gut,Milk,Host,Non-motile,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.260085368,0.609521965,3018.0,1157.0,0.277125749,4175.0,2735.0,1440.0,0.34491018,2654.0,1521.0,0.364311377,0.500359281,0.397365269,283915466.7,1905.0,40.0
216816,98,bifidobacterium_longum,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Positive,Host,Facultative,Class,Mammalia,Broad,Gut,,Inside,Extracellular,Animal,Mutualist,Gut,,Host,Non-motile,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.353111774,0.546798923,3731.0,1065.0,0.22206005,4796.0,3532.0,1264.0,0.263552961,3392.0,1404.0,0.292743953,0.560675563,0.414512093,336115447.6,1963.0,20.0
35814,66,bordetella_holmesii,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Negative,Host,Obligate,Species,Homo sapiens,Narrow,Blood,Respiratory,Inside,Both,Animal,Pathogen,Blood,Respiratory,Host,Non-motile,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.041820351,0.812634657,705.0,2473.0,0.778162366,3178.0,213.0,2965.0,0.932976715,102.0,3076.0,0.967904342,0.011957206,0.008181246,NA,3145.0,15.0
520,593,bordetella_pertussis,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Negative,Host,Obligate,Species,Homo sapiens,Narrow,Respiratory,,Inside,Both,Animal,Pathogen,Respiratory,,Host,Both,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.016285923,0.70996849,1325.0,2337.0,0.63817586,3662.0,385.0,3277.0,0.894866193,346.0,3316.0,0.905516111,0.083287821,0.078099399,95477591.09,3478.0,357.0
235,62,brucella_abortus,Brucellaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Negative,Host,Facultative,Class,Mammalia,Broad,Liver,Spleen Blood,Inside,Both,Animal,Pathogen,Cell,Blood,Host,Non-motile,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.032406699,0.920134943,379.0,2869.0,0.883312808,3248.0,329.0,2919.0,0.898706897,200.0,3048.0,0.938423645,0.024014778,0.004926108,NA,3139.0,19.0
29459,106,brucella_melitensis,Brucellaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Negative,Host,Facultative,Class,Mammalia,Broad,Placenta,Spleen Liver,Inside,Both,Animal,Pathogen,Cell,,Host,Non-motile,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.035827918,0.831385585,691.0,2584.0,0.789007634,3275.0,263.0,3012.0,0.919694656,226.0,3049.0,0.930992366,0.023816794,0.018015267,NA,3126.0,60.0
29461,24,brucella_suis,Brucellaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Negative,Host,Facultative,Class,Mammalia,Broad,Genitalia,Blood,Inside,Both,Animal,Pathogen,Cell,Genitalia,Host,Non-motile,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.044040211,0.894039141,490.0,2798.0,0.850973236,3288.0,306.0,2982.0,0.906934307,257.0,3031.0,0.921836983,0.021289538,0.018248175,NA,3146.0,16.0
9,72,buchnera_aphidicola,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Negative,Host,Obligate,Family,Aphididae,Narrow,Cell,,Inside,Intracellular,Animal,Mutualist,Cell,,Host,Non-motile,No,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.253276067,0.312246006,565.0,152.0,0.211994421,717.0,399.0,318.0,0.443514644,348.0,369.0,0.514644351,0.167364017,0.147838215,NA,509.0,25.0
95486,71,burkholderia_cenocepacia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Negative,Both,Facultative,Domain,Eukaryota,Broad,Root,Lungs,Both,Intracellular,Both,Both,Rhizosphere,Soil,Host,Motile,No,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,0.299163582,0.541437596,10864.0,3680.0,0.253025303,14544.0,9966.0,4578.0,0.314768977,9017.0,5527.0,0.380019252,0.475110011,0.366474147,393189088.7,6881.0,16.0
13373,34,burkholderia_mallei,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Negative,Host,Obligate,Class,Mammalia,Broad,Cell,,Inside,Intracellular,Animal,Pathogen,Cell,Spleen,Host,Non-motile,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.101629267,0.620235213,2746.0,3300.0,0.545815415,6046.0,1406.0,4640.0,0.767449553,976.0,5070.0,0.838570956,0.045319219,0.036222296,NA,5469.0,28.0
28450,163,burkholderia_pseudomallei,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Negative,Both,Facultative,Domain,Eukaryota,Broad,Cell,Gut,Inside,Intracellular,Both,Pathogen,Soil,Water,Free,Motile,No,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,6.0,0.14900617,0.571960644,9547.0,3918.0,0.290976606,13465.0,7547.0,5918.0,0.43950984,7330.0,6135.0,0.455625696,0.457408095,0.417304122,398902172.8,6888.0,83.0
57975,25,burkholderia_thailandensis,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Negative,Both,Facultative,Domain,Eukaryota,Broad,Cell,,Inside,Intracellular,Both,Pathogen,Soil,Water,Free,Motile,No,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,4.0,0.173286542,0.676889277,4941.0,3959.0,0.444831461,8900.0,3799.0,5101.0,0.573146067,3655.0,5245.0,0.589325843,0.314269663,0.257303371,NA,5884.0,21.0
195,72,campylobacter_coli,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Negative,Host,Facultative,Phylum,Chordata,Broad,Gut,,Inside,Both,Animal,Both,Gut,,Host,Motile,No,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,0.197792896,0.701386892,1508.0,1232.0,0.449635036,2740.0,1280.0,1460.0,0.532846715,1229.0,1511.0,0.551459854,0.300729927,0.206934307,NA,1785.0,20.0
196,27,campylobacter_fetus,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Negative,Host,Facultative,Phylum,Chordata,Broad,Gut,Genitalia,Inside,Both,Animal,Both,Gut,Genitalia,Host,Motile,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.153926325,0.815144944,929.0,1451.0,0.609663866,2380.0,836.0,1544.0,0.648739496,799.0,1581.0,0.664285714,0.192436975,0.142436975,240503832.8,1796.0,11.0
197,300,campylobacter_jejuni,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Negative,Host,Facultative,Phylum,Chordata,Broad,Gut,,Inside,Both,Animal,Both,Gut,,Host,Motile,No,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,0.165055918,0.621470111,2239.0,1010.0,0.310864882,3249.0,1873.0,1376.0,0.423514928,1841.0,1408.0,0.433364112,0.462603878,0.389042782,383089898.5,1632.0,141.0
83560,24,chlamydia_muridarum,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae,Negative,Host,Obligate,Family,Muridae,Narrow,Cell,,Inside,Intracellular,Animal,Pathogen,Cell,,Host,Non-motile,Yes,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.01256819,0.923030822,84.0,825.0,0.907590759,909.0,17.0,892.0,0.98129813,13.0,896.0,0.98569857,0.00990099,0.00990099,NA,895.0,20.0
83554,24,chlamydia_psittaci,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae,Negative,Host,Obligate,Class,Aves,Broad,Cell,,Inside,Intracellular,Animal,Pathogen,Cell,,Host,Non-motile,Yes,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.053577779,0.807814429,243.0,780.0,0.762463343,1023.0,128.0,895.0,0.87487781,68.0,955.0,0.933528837,0.03030303,0.015640274,267984650.7,970.0,16.0
813,140,chlamydia_trachomatis,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae,Negative,Host,Obligate,Species,Homo sapiens,Narrow,Cell,,Inside,Intracellular,Animal,Pathogen,Cell,,Host,Non-motile,Yes,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.036843838,0.875182081,187.0,789.0,0.808401639,976.0,109.0,867.0,0.888319672,101.0,875.0,0.896516393,0.051229508,0.045081967,155506781,902.0,85.0
546,109,citrobacter_freundii,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Phylum,Chordata,Broad,Gut,Urine Blood,Inside,Extracellular,Animal,Both,Soil,Water Gut,Free,Motile,No,NA,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,8.0,0.327062752,0.549525334,12073.0,2715.0,0.183594807,14788.0,11319.0,3469.0,0.234582094,10997.0,3791.0,0.256356505,0.661347038,0.529010008,338521589.4,4969.0,26.0
1496,158,clostridioides_difficile,Peptostreptococcaceae,Eubacteriales,Clostridia,Firmicutes,Positive,Both,Facultative,Phylum,Chordata,Broad,Gut,Genitalia Blood,Inside,Extracellular,Animal,Both,Soil,Sedmiment Sand Gut,Free,Motile,Yes,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,5.0,0.166962094,0.692469109,3899.0,2514.0,0.392016217,6413.0,3406.0,3007.0,0.468891315,3234.0,3179.0,0.495711835,0.400436613,0.337595509,NA,3665.0,50.0
1491,67,clostridium_botulinum,Peptostreptococcaceae,Eubacteriales,Clostridia,Firmicutes,Positive,Both,Facultative,Domain,Eukaryota,Broad,Gut,Nerves,Inside,Extracellular,Animal,Pathogen,Soil,Sediment Water,Free,Motile,Yes,1,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,8.0,0.401554104,0.172759653,11427.0,601.0,0.049966744,12028.0,11036.0,992.0,0.082474227,9344.0,2684.0,0.223145993,0.676338543,0.484951779,312718240,3642.0,46.0
1717,55,corynebacterium_diphtheriae,Corynebacteriaceae,Mycobacteriales,Actinobacteria,Actinobacteria,Positive,Host,Obligate,Species,Homo sapiens,Narrow,Skin,Mucous membranes,Both,Both,Animal,Pathogen,Skin,,Host,Non-motile,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.185727644,0.751676366,1655.0,1639.0,0.497571342,3294.0,1514.0,1780.0,0.540376442,1428.0,1866.0,0.566484517,0.259562842,0.13630844,299860134.3,2189.0,18.0
1718,36,corynebacterium_glutamicum,Corynebacteriaceae,Mycobacteriales,Actinobacteria,Actinobacteria,Positive,Free,,,,,,,,,,,Soil,,Free,Non-motile,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.210150949,0.577910007,3588.0,1678.0,0.31864793,5266.0,2881.0,2385.0,0.452905431,2800.0,2466.0,0.468287125,0.373338397,0.324154956,NA,2915.0,24.0
1719,156,corynebacterium_pseudotuberculosis,Corynebacteriaceae,Mycobacteriales,Actinobacteria,Actinobacteria,Positive,Host,Obligate,Class,Mammalia,Broad,Cell,Lymph,Inside,Intracellular,Animal,Pathogen,Cell,,Host,Non-motile,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.086879288,0.54466142,1208.0,1097.0,0.475921909,2305.0,455.0,1850.0,0.802603037,385.0,1920.0,0.8329718,0.064208243,0.042516269,260946392.5,2019.0,72.0
65058,21,corynebacterium_ulcerans,Corynebacteriaceae,Mycobacteriales,Actinobacteria,Actinobacteria,Positive,Host,Obligate,Class,Mammalia,Broad,Skin,,Inside,Both,Animal,Pathogen,Skin,,Host,Non-motile,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.09057376,0.886605257,733.0,1921.0,0.723813112,2654.0,640.0,2014.0,0.758854559,608.0,2046.0,0.770911831,0.139035418,0.088168802,NA,2169.0,13.0
777,42,coxiella_burnetii,Coxiellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,Negative,Host,Obligate,Kingdom,Animalia,Broad,Cell,,Inside,Intracellular,Animal,Pathogen,Cell,,Host,Non-motile,Yes,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,0.163464874,0.715555928,945.0,1370.0,0.591792657,2315.0,773.0,1542.0,0.666090713,621.0,1694.0,0.73174946,0.104967603,0.080345572,NA,1946.0,10.0
1747,45,cutibacterium_acnes,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Positive,Host,Obligate,Species,Homo sapiens,Narrow,Follicle,Skin,Both,Extracellular,Animal,Both,Skin,,Host,Non-motile,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.102026143,0.773896351,1004.0,1837.0,0.646603309,2841.0,684.0,2157.0,0.759239704,592.0,2249.0,0.791622668,0.137979585,0.091517071,NA,2379.0,20.0
61435,25,dehalococcoides_mccartyi,Dehalococcoidaceae,Dehalococcoidales,Dehalococcoidia,Chloroflexi,Neither,Free,,,,,,,,,,,Sediment,Water,Free,Non-motile,No,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2.0,0.256678736,0.70626101,2002.0,1006.0,0.334441489,3008.0,1920.0,1088.0,0.361702128,1894.0,1114.0,0.370345745,0.477393617,0.384640957,261489238.9,1433.0,23.0
1117645,58,elizabethkingia_anophelis,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,Negative,Host,Unknown,Unknown,Anopholes gambiae,Unknown,Gut,Blood,Inside,Extracellular,Animal,Unknown,Gut,,Host,Non-motile,No,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,0.207910306,0.759398147,3804.0,2723.0,0.417190133,6527.0,3649.0,2878.0,0.440937644,3498.0,3029.0,0.464072315,0.376436341,0.276850008,NA,3597.0,19.0
550,56,enterobacter_cloacae,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Domain,Eukaryota,Broad,Gut,Root Skin,Inside,Extracellular,Both,Both,Gut,Soil Water,Host,Motile,No,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6.0,0.316405208,0.571482574,12229.0,2685.0,0.180032185,14914.0,11558.0,3356.0,0.225023468,11394.0,3520.0,0.236019847,0.657905324,0.558669706,353871025.2,4722.0,43.0
158836,291,enterobacter_hormaechei,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Class,Mammalia,Broad,Gut,Respiratory,Inside,Extracellular,Animal,Both,Gut,Soil,Host,Motile,No,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,0.269893953,0.694347536,7070.0,3266.0,0.315982972,10336.0,6697.0,3639.0,0.352070433,6612.0,3724.0,0.360294118,0.500386997,0.408862229,351122205.3,4721.0,22.0
1351,257,enterococcus_faecalis,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Positive,Both,Facultative,Domain,Eukaryota,Broad,Gut,Flowers,Both,Extracellular,Both,Both,Gut,Soil Water Plant,Host,Motile,No,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,8.0,0.262078027,0.685265772,3740.0,1939.0,0.341433351,5679.0,3490.0,2189.0,0.385455186,3391.0,2288.0,0.402887832,0.430357457,0.247578799,360985819.2,2865.0,19.0
1352,328,enterococcus_faecium,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Positive,Both,Facultative,Domain,Eukaryota,Broad,Gut,Flowers,Both,Extracellular,Both,Both,Gut,Soil Water Plant,Host,Non-motile,No,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,8.0,0.256016438,0.457816841,4739.0,1314.0,0.217082438,6053.0,4015.0,2038.0,0.336692549,3879.0,2174.0,0.359160747,0.484553114,0.396828019,338287048.8,2896.0,53.0
562,3152,escherichia_coli,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Domain,Eukaryota,Broad,Gut,Root Leaf,Both,Extracellular,Both,Both,Gut,Soil Water Plant,Host,Motile,No,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6.0,0.295744488,0.152737114,28960.0,742.0,0.024981483,29702.0,26291.0,3411.0,0.114840751,26023.0,3679.0,0.123863713,0.822840213,0.782304222,416911778.1,4913.0,633.0
263,66,francisella_tularensis,Francisellaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria,Negative,Host,Facultative,Domain,Eukaryota,Broad,Cell,,Inside,Intracellular,Animal,Pathogen,Cell,,Host,Non-motile,No,NA,1,NA,NA,NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,6.0,0.1719852,0.547501637,1485.0,892.0,0.375262936,2377.0,1115.0,1262.0,0.530921329,1027.0,1350.0,0.567942785,0.237694573,0.215818258,NA,1646.0,34.0
851,12,fusobacterium_nucleatum,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteria,Negative,Host,Obligate,Species,Homo sapiens,Narrow,Gum,Gut,Inside,Extracellular,Animal,Both,Gum,,Host,Non-motile,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.328000536,0.608713815,2945.0,1254.0,0.298642534,4199.0,2802.0,1397.0,0.332698261,2681.0,1518.0,0.361514646,0.443915218,0.242200524,325588485.9,2106.0,15.0
